,Year,Month,Incident Zip,Sanitation_related,Neighborhood_related,House_related,Pollution_related,Other_related
249,2015,2,10118,1,1,1,1,1
250,2015,2,10119,2,2,2,2,2
251,2015,2,10123,2,2,2,2,2
252,2015,2,10128,835,835,835,835,835
253,2015,2,10153,1,1,1,1,1
254,2015,2,10162,1,1,1,1,1
255,2015,2,10280,23,23,23,23,23
256,2015,2,10281,5,5,5,5,5
257,2015,2,10282,17,17,17,17,17
258,2015,2,10285,1,1,1,1,1
259,2015,2,10301,913,913,913,913,913
260,2015,2,10302,370,370,370,370,370
261,2015,2,10303,503,503,503,503,503
262,2015,2,10304,813,813,813,813,813
263,2015,2,10305,738,738,738,738,738
264,2015,2,10306,1035,1035,1035,1035,1035
265,2015,2,10307,191,191,191,191,191
266,2015,2,10308,564,564,564,564,564
267,2015,2,10309,511,511,511,511,511
268,2015,2,10310,476,476,476,476,476
269,2015,2,10312,1002,1002,1002,1002,1002
270,2015,2,10314,1421,1421,1421,1421,1421
271,2015,2,10451,1389,1389,1389,1389,1389
272,2015,2,10452,2439,2439,2439,2439,2439
273,2015,2,10453,3090,3090,3090,3090,3090
274,2015,2,10454,862,862,862,862,862
275,2015,2,10455,1007,1007,1007,1007,1007
276,2015,2,10456,2492,2492,2492,2492,2492
277,2015,2,10457,2624,2624,2624,2624,2624
278,2015,2,10458,3123,3123,3123,3123,3123
279,2015,2,10459,1204,1204,1204,1204,1204
280,2015,2,10460,1757,1757,1757,1757,1757
281,2015,2,10461,1210,1210,1210,1210,1210
282,2015,2,10462,1756,1756,1756,1756,1756
283,2015,2,10463,2207,2207,2207,2207,2207
284,2015,2,10464,118,118,118,118,118
285,2015,2,10465,830,830,830,830,830
286,2015,2,10466,1838,1838,1838,1838,1838
287,2015,2,10467,3791,3791,3791,3791,3791
288,2015,2,10468,3097,3097,3097,3097,3097
289,2015,2,10469,1348,1348,1348,1348,1348
290,2015,2,10470,534,534,534,534,534
291,2015,2,10471,296,296,296,296,296
292,2015,2,10472,1880,1880,1880,1880,1880
293,2015,2,10473,913,913,913,913,913
294,2015,2,10474,438,438,438,438,438
295,2015,2,10475,237,237,237,237,237
296,2015,2,10803,4,4,4,4,4
297,2015,2,11001,59,59,59,59,59
298,2015,2,11004,150,150,150,150,150
299,2015,2,11005,3,3,3,3,3
300,2015,2,11040,41,41,41,41,41
301,2015,2,11101,1168,1168,1168,1168,1168
302,2015,2,11102,649,649,649,649,649
303,2015,2,11103,857,857,857,857,857
304,2015,2,11104,556,556,556,556,556
305,2015,2,11105,690,690,690,690,690
306,2015,2,11106,803,803,803,803,803
307,2015,2,11109,14,14,14,14,14
308,2015,2,11201,919,919,919,919,919
309,2015,2,11203,2188,2188,2188,2188,2188
310,2015,2,11204,1459,1459,1459,1459,1459
311,2015,2,11205,1408,1408,1408,1408,1408
312,2015,2,11206,1554,1554,1554,1554,1554
313,2015,2,11207,2480,2480,2480,2480,2480
314,2015,2,11208,2222,2222,2222,2222,2222
315,2015,2,11209,1484,1484,1484,1484,1484
316,2015,2,11210,1544,1544,1544,1544,1544
317,2015,2,11211,1415,1415,1415,1415,1415
318,2015,2,11212,2261,2261,2261,2261,2261
319,2015,2,11213,2556,2556,2556,2556,2556
320,2015,2,11214,1451,1451,1451,1451,1451
321,2015,2,11215,1229,1229,1229,1229,1229
322,2015,2,11216,2115,2115,2115,2115,2115
323,2015,2,11217,908,908,908,908,908
324,2015,2,11218,1405,1405,1405,1405,1405
325,2015,2,11219,1103,1103,1103,1103,1103
326,2015,2,11220,1535,1535,1535,1535,1535
327,2015,2,11221,2242,2242,2242,2242,2242
328,2015,2,11222,958,958,958,958,958
329,2015,2,11223,1361,1361,1361,1361,1361
330,2015,2,11224,725,725,725,725,725
331,2015,2,11225,2343,2343,2343,2343,2343
332,2015,2,11226,4165,4165,4165,4165,4165
333,2015,2,11228,525,525,525,525,525
334,2015,2,11229,1580,1580,1580,1580,1580
335,2015,2,11230,1743,1743,1743,1743,1743
336,2015,2,11231,634,634,634,634,634
337,2015,2,11232,665,665,665,665,665
338,2015,2,11233,1935,1935,1935,1935,1935
339,2015,2,11234,1463,1463,1463,1463,1463
340,2015,2,11235,1632,1632,1632,1632,1632
341,2015,2,11236,1379,1379,1379,1379,1379
342,2015,2,11237,1444,1444,1444,1444,1444
343,2015,2,11238,1712,1712,1712,1712,1712
344,2015,2,11239,79,79,79,79,79
345,2015,2,11241,1,1,1,1,1
346,2015,2,11249,523,523,523,523,523
347,2015,2,11354,813,813,813,813,813
348,2015,2,11355,1075,1075,1075,1075,1075
349,2015,2,11356,401,401,401,401,401
350,2015,2,11357,665,665,665,665,665
351,2015,2,11358,572,572,572,572,572
352,2015,2,11359,1,1,1,1,1
353,2015,2,11360,293,293,293,293,293
354,2015,2,11361,459,459,459,459,459
355,2015,2,11362,258,258,258,258,258
356,2015,2,11363,199,199,199,199,199
357,2015,2,11364,394,394,394,394,394
358,2015,2,11365,484,484,484,484,484
359,2015,2,11366,416,416,416,416,416
360,2015,2,11367,653,653,653,653,653
361,2015,2,11368,1602,1602,1602,1602,1602
362,2015,2,11369,645,645,645,645,645
363,2015,2,11370,467,467,467,467,467
364,2015,2,11371,3,3,3,3,3
365,2015,2,11372,1161,1161,1161,1161,1161
366,2015,2,11373,1373,1373,1373,1373,1373
367,2015,2,11374,846,846,846,846,846
368,2015,2,11375,1395,1395,1395,1395,1395
369,2015,2,11377,1674,1674,1674,1674,1674
370,2015,2,11378,829,829,829,829,829
371,2015,2,11379,635,635,635,635,635
372,2015,2,11385,1858,1858,1858,1858,1858
373,2015,2,11411,290,290,290,290,290
374,2015,2,11412,593,593,593,593,593
375,2015,2,11413,668,668,668,668,668
376,2015,2,11414,512,512,512,512,512
377,2015,2,11415,508,508,508,508,508
378,2015,2,11416,433,433,433,433,433
379,2015,2,11417,621,621,621,621,621
380,2015,2,11418,612,612,612,612,612
381,2015,2,11419,796,796,796,796,796
382,2015,2,11420,836,836,836,836,836
383,2015,2,11421,676,676,676,676,676
384,2015,2,11422,529,529,529,529,529
385,2015,2,11423,498,498,498,498,498
386,2015,2,11426,211,211,211,211,211
387,2015,2,11427,337,337,337,337,337
388,2015,2,11428,336,336,336,336,336
389,2015,2,11429,393,393,393,393,393
390,2015,2,11430,56,56,56,56,56
391,2015,2,11432,1134,1134,1134,1134,1134
392,2015,2,11433,731,731,731,731,731
393,2015,2,11434,1052,1052,1052,1052,1052
394,2015,2,11435,980,980,980,980,980
395,2015,2,11436,307,307,307,307,307
396,2015,2,11691,1322,1322,1322,1322,1322
397,2015,2,11692,279,279,279,279,279
398,2015,2,11693,251,251,251,251,251
399,2015,2,11694,495,495,495,495,495
400,2015,2,11695,2,2,2,2,2
401,2015,2,11697,19,19,19,19,19
402,2015,2,83,5,5,5,5,5
403,2015,2,nan,55,55,55,55,55
404,2015,3,00083,5,5,5,5,5
405,2015,3,10000,17,17,17,17,17
406,2015,3,10001,856,856,856,856,856
407,2015,3,10002,1445,1445,1445,1445,1445
408,2015,3,10003,1371,1371,1371,1371,1371
409,2015,3,10004,139,139,139,139,139
410,2015,3,10005,142,142,142,142,142
411,2015,3,10006,104,104,104,104,104
412,2015,3,10007,249,249,249,249,249
413,2015,3,10009,981,981,981,981,981
414,2015,3,10010,489,489,489,489,489
415,2015,3,10011,1104,1104,1104,1104,1104
416,2015,3,10012,656,656,656,656,656
417,2015,3,10013,845,845,845,845,845
418,2015,3,10014,868,868,868,868,868
419,2015,3,10016,1025,1025,1025,1025,1025
420,2015,3,10017,701,701,701,701,701
421,2015,3,10018,359,359,359,359,359
