,Year,Month,BORO_NM,LAW_CAT_FELONY,LAW_CAT_MISDEMEANOR,LAW_CAT_VIOLATION
260,2019,2,(null),1,0,0
261,2019,2,BRONX,1917,3892,1184
262,2019,2,BROOKLYN,3086,4775,1430
263,2019,2,MANHATTAN,2379,4566,1044
264,2019,2,QUEENS,2049,3456,1051
265,2019,2,STATEN ISLAND,329,757,308
266,2019,3,BRONX,2124,4551,1385
267,2019,3,BROOKLYN,3379,5603,1601
268,2019,3,MANHATTAN,2672,5121,1226
269,2019,3,QUEENS,2319,3833,1227
270,2019,3,STATEN ISLAND,383,777,374
271,2019,4,BRONX,2186,4464,1483
272,2019,4,BROOKLYN,3542,5292,1700
273,2019,4,MANHATTAN,2945,5336,1219
274,2019,4,QUEENS,2154,3837,1246
275,2019,4,STATEN ISLAND,360,790,364
276,2019,5,BRONX,2457,4933,1522
277,2019,5,BROOKLYN,3809,6044,1875
278,2019,5,MANHATTAN,3063,5560,1390
279,2019,5,QUEENS,2539,4231,1379
280,2019,5,STATEN ISLAND,437,898,365
281,2019,6,BRONX,2397,4742,1416
282,2019,6,BROOKLYN,3751,5788,1864
283,2019,6,MANHATTAN,3259,5679,1389
284,2019,6,QUEENS,2542,4190,1397
285,2019,6,STATEN ISLAND,383,870,402
286,2019,7,BRONX,2765,5131,1545
287,2019,7,BROOKLYN,4167,6391,1884
288,2019,7,MANHATTAN,3294,5920,1336
289,2019,7,QUEENS,2781,4373,1388
290,2019,7,STATEN ISLAND,449,1031,324
291,2019,8,(null),1,0,0
292,2019,8,BRONX,2639,5064,1450
293,2019,8,BROOKLYN,4043,5812,1798
294,2019,8,MANHATTAN,3390,5793,1365
295,2019,8,QUEENS,2726,4249,1379
296,2019,8,STATEN ISLAND,389,835,330
297,2019,9,(null),1,0,0
298,2019,9,BRONX,2569,4833,1414
299,2019,9,BROOKLYN,3924,5989,1847
300,2019,9,MANHATTAN,3245,5817,1268
301,2019,9,QUEENS,2556,3993,1433
302,2019,9,STATEN ISLAND,409,940,373
303,2019,10,BRONX,2614,4656,1471
304,2019,10,BROOKLYN,3925,5825,1812
305,2019,10,MANHATTAN,3404,5711,1331
306,2019,10,QUEENS,2615,4060,1294
307,2019,10,STATEN ISLAND,422,895,353
308,2019,11,BRONX,2438,4332,1416
309,2019,11,BROOKLYN,3512,5374,1682
310,2019,11,MANHATTAN,3078,5011,1293
311,2019,11,QUEENS,2429,4006,1243
312,2019,11,STATEN ISLAND,372,789,323
313,2019,12,(null),2,1,1
314,2019,12,BRONX,2213,4402,1437
315,2019,12,BROOKLYN,3476,5235,1642
316,2019,12,MANHATTAN,3125,5066,1250
317,2019,12,QUEENS,2440,3831,1296
318,2019,12,STATEN ISLAND,389,782,293
319,2020,1,(null),1,4,0
320,2020,1,BRONX,2391,4609,1510
321,2020,1,BROOKLYN,3819,5585,1718
322,2020,1,MANHATTAN,3290,5463,1220
323,2020,1,QUEENS,2673,3906,1340
324,2020,1,STATEN ISLAND,380,941,305
325,2020,2,(null),1,1,1
326,2020,2,BRONX,2291,4056,1341
327,2020,2,BROOKLYN,3485,5166,1664
328,2020,2,MANHATTAN,2894,5169,1233
329,2020,2,QUEENS,2484,3876,1223
330,2020,2,STATEN ISLAND,388,835,317
331,2020,3,BRONX,2089,3887,1317
332,2020,3,BROOKLYN,3172,4870,1637
333,2020,3,MANHATTAN,2420,4094,1201
334,2020,3,QUEENS,2197,3327,1129
335,2020,3,STATEN ISLAND,340,756,281
336,2020,4,(null),0,2,1
337,2020,4,BRONX,1673,3033,928
338,2020,4,BROOKLYN,2407,3550,1250
339,2020,4,MANHATTAN,1605,2711,763
340,2020,4,QUEENS,1755,2610,843
341,2020,4,STATEN ISLAND,287,574,216
342,2020,5,(null),0,0,1
343,2020,5,BRONX,2131,4076,1294
344,2020,5,BROOKLYN,3180,4756,1450
345,2020,5,MANHATTAN,2124,3792,816
346,2020,5,QUEENS,2215,3566,1184
347,2020,5,STATEN ISLAND,353,700,287
348,2020,6,(null),0,0,1
349,2020,6,BRONX,2340,3680,1283
350,2020,6,BROOKLYN,3175,4493,1599
351,2020,6,MANHATTAN,2784,3817,968
352,2020,6,QUEENS,2274,3582,1318
353,2020,6,STATEN ISLAND,356,601,345
354,2020,7,(null),0,1,0
355,2020,7,BRONX,2222,3845,1493
356,2020,7,BROOKLYN,3670,5090,1766
357,2020,7,MANHATTAN,2654,4416,1175
358,2020,7,QUEENS,2594,3916,1519
359,2020,7,STATEN ISLAND,358,736,333
360,2020,8,(null),0,2,0
361,2020,8,BRONX,2564,3976,1448
362,2020,8,BROOKLYN,3890,5465,1800
363,2020,8,MANHATTAN,2924,4609,1148
364,2020,8,QUEENS,2821,4101,1586
365,2020,8,STATEN ISLAND,433,715,346
366,2020,9,(null),0,2,0
367,2020,9,BRONX,2652,3676,1373
368,2020,9,BROOKLYN,3760,5135,1648
369,2020,9,MANHATTAN,3036,4589,1207
370,2020,9,QUEENS,2759,3721,1381
371,2020,9,STATEN ISLAND,385,758,346
372,2020,10,(null),0,1,0
373,2020,10,BRONX,2655,4099,1389
374,2020,10,BROOKLYN,3826,5102,1747
375,2020,10,MANHATTAN,3170,4991,1129
376,2020,10,QUEENS,2732,4078,1406
377,2020,10,STATEN ISLAND,429,764,338
378,2020,11,(null),0,1,1
379,2020,11,BRONX,2498,3993,1279
380,2020,11,BROOKLYN,3547,4870,1590
381,2020,11,MANHATTAN,2785,4289,1072
382,2020,11,QUEENS,2498,3737,1277
383,2020,11,STATEN ISLAND,359,754,293
384,2020,12,(null),0,1,0
385,2020,12,BRONX,2423,3835,1257
386,2020,12,BROOKLYN,3363,4733,1474
387,2020,12,MANHATTAN,2773,4157,1011
388,2020,12,QUEENS,2443,3743,1232
389,2020,12,STATEN ISLAND,446,689,270
390,2021,1,(null),0,0,1
391,2021,1,BRONX,2291,3719,1169
392,2021,1,BROOKLYN,3384,4729,1568
393,2021,1,MANHATTAN,2498,4192,1032
394,2021,1,QUEENS,2342,3737,1191
395,2021,1,STATEN ISLAND,398,732,251
396,2021,2,(null),1,1,0
397,2021,2,BRONX,1968,3107,1077
398,2021,2,BROOKLYN,2689,3901,1484
399,2021,2,MANHATTAN,2135,3631,944
400,2021,2,QUEENS,1886,3208,1085
401,2021,2,STATEN ISLAND,377,604,303
402,2021,3,(null),0,13,0
403,2021,3,BRONX,2353,3877,1321
404,2021,3,BROOKLYN,3355,5004,1694
405,2021,3,MANHATTAN,2752,4565,1218
406,2021,3,QUEENS,2286,3992,1332
407,2021,3,STATEN ISLAND,463,757,328
408,2021,4,(null),0,93,0
409,2021,4,BRONX,2242,3310,1243
410,2021,4,BROOKLYN,3086,4670,1733
411,2021,4,MANHATTAN,2519,4279,1232
412,2021,4,QUEENS,2310,3744,1263
413,2021,4,STATEN ISLAND,427,780,310
414,2021,5,(null),1,52,0
415,2021,5,BRONX,2564,3663,1455
416,2021,5,BROOKLYN,3563,5074,1815
417,2021,5,MANHATTAN,2915,5075,1285
418,2021,5,QUEENS,2542,4070,1442
419,2021,5,STATEN ISLAND,433,825,371
420,2021,6,(null),4,67,0
421,2021,6,BRONX,2708,3814,1421
422,2021,6,BROOKLYN,3625,5228,1952
423,2021,6,MANHATTAN,3094,5031,1305
424,2021,6,QUEENS,2520,4037,1496
425,2021,6,STATEN ISLAND,421,848,391
426,2021,7,(null),8,67,0
427,2021,7,BRONX,2862,4110,1483
428,2021,7,BROOKLYN,3876,5329,1949
429,2021,7,MANHATTAN,3156,5210,1313
430,2021,7,QUEENS,2665,4287,1543
431,2021,7,STATEN ISLAND,420,863,354
432,2021,8,(null),3,71,0
433,2021,8,BRONX,2839,3990,1463
